400 , 300
47.9973 , 108.896 - 66.9973 , 472.896
44.0027 , 109.104 - 63.0027 , 473.104
47.9973 , 108.896 - 44.0027 , 109.104
66.9973 , 472.896 - 63.0027 , 473.104
36.0544 , 456.001 - 697.054 , 474.001
35.9456 , 459.999 - 696.946 , 477.999
36.0544 , 456.001 - 35.9456 , 459.999
697.054 , 474.001 - 696.946 , 477.999
30.8549 , 115.005 - 635.855 , 71.0053
31.1451 , 118.995 - 636.145 , 74.9947
30.8549 , 115.005 - 31.1451 , 118.995
635.855 , 71.0053 - 636.145 , 74.9947
619.986 , 58.7651 - 654.986 , 354.765
616.014 , 59.2349 - 651.014 , 355.235
619.986 , 58.7651 - 616.014 , 59.2349
654.986 , 354.765 - 651.014 , 355.235
184.999 , 77.9355 - 192.999 , 325.936
181.001 , 78.0645 - 189.001 , 326.064
184.999 , 77.9355 - 181.001 , 78.0645
192.999 , 325.936 - 189.001 , 326.064
179.125 , 300.004 - 243.125 , 304.004
178.875 , 303.996 - 242.875 , 307.996
179.125 , 300.004 - 178.875 , 303.996
243.125 , 304.004 - 242.875 , 307.996
233.081 , 316.563 - 164.081 , 81.5634
236.919 , 315.437 - 167.919 , 80.4366
233.081 , 316.563 - 236.919 , 315.437
164.081 , 81.5634 - 167.919 , 80.4366
333.975 , 60.6859 - 378.975 , 343.686
330.025 , 61.3141 - 375.025 , 344.314
333.975 , 60.6859 - 330.025 , 61.3141
378.975 , 343.686 - 375.025 , 344.314
484.986 , 61.7627 - 503.986 , 220.763
481.014 , 62.2373 - 500.014 , 221.237
484.986 , 61.7627 - 481.014 , 62.2373
503.986 , 220.763 - 500.014 , 221.237
